hr,t_start_video,gsr,t_start_eis,rr
53,1506682968.891414,88,1506682718.572366,1166
53,,88,1106,1188
53,,88,1125,1218
52,,88,1099,1193
52,,88,1093,1093
52,,88,1110,1083
53,,87,1078,1049
53,,87,1061,929
55,,86,994,878
56,,85,879,892
58,,84,839,985
58,,84,848,982
58,,83,866,947
59,,83,865,902
60,,84,864,871
61,,83,807,855
62,,83,767,874
64,,83,754,842
64,,81,858,892
64,,81,995,969
64,,80,995,949
64,,78,984,963
63,,78,991,1000
63,,78,950,1015
62,,78,926,1056
61,,79,922,1087
61,,79,922,1020
61,,80,890,1013
60,,80,853,1017
60,,79,876,997
60,,78,905,1090
60,,79,947,1053
59,,79,956,1000
60,,78,941,970
60,,79,929,924
61,,79,985,957
60,,79,1032,1040
60,,79,992,1056
60,,79,1031,1030
60,,78,1039,1071
59,,78,992,1081
59,,79,1014,1069
58,,79,1093,1103
58,,79,1103,1092
57,,79,1128,1039
58,,79,1098,1080
57,,79,1095,1095
57,,79,1116,1127
57,,79,1083,1130
56,,79,1090,1103
56,,79,1125,1109
56,,79,1117,1089
56,,79,1111,1120
55,,79,1093,1130
55,,79,1097,1134
55,,79,1134,1114
55,,79,1039,1050
55,,79,893,1070
55,,78,894,1068
55,,79,929,1114
55,,77,1051,1150
55,,77,1153,1147
55,,78,1158,1130
55,,78,1154,1135
54,,79,1158,1097
54,,79,1107,1124
54,,79,1014,1156
54,,79,1013,1140
54,,79,1112,1172
54,,79,1140,1154
54,,79,1129,1178
54,,79,,1175
53,,79,,1148
53,,79,,1160
53,,79,,1144
53,,79,,1168
52,,79,,1163
52,,80,,1191
52,,79,,1203
52,,80,,1190
52,,80,,1202
52,,81,,1190
52,,81,,1176
52,,81,,1200
52,,80,,1208
51,,79,,1162
51,,80,,1190
51,,80,,1181
51,,80,,1136
51,,80,,1116
51,,81,,1125
51,,81,,1105
51,,81,,1058
51,,79,,989
51,,79,,1029
51,,78,,928
51,,74,,964
51,,77,,1065
52,,77,,1106
52,,75,,1135
52,,76,,1109
54,,77,,971
54,,77,,848
55,,78,,863
56,,78,,923
56,,79,,1036
56,,79,,1009
56,,79,,940
55,,79,,851
56,,79,,813
56,,79,,794
58,,79,,778
59,,80,,907
59,,80,,1024
59,,80,,1067
61,,80,,1102
62,,79,,1138
64,,76,,1151
65,,75,,1149
66,,74,,1149
65,,73,,1111
64,,75,,1048
62,,75,,994
61,,75,,1020
60,,77,,1112
59,,77,,1120
59,,77,,1105
58,,77,,1113
58,,77,,1134
58,,77,,1109
58,,77,,1139
58,,78,,1188
57,,79,,1185
57,,79,,1166
57,,79,,1159
56,,79,,1182
56,,79,,1165
56,,79,,1189
56,,79,,1185
55,,80,,1127
55,,80,,1134
54,,81,,1159
54,,81,,1128
54,,80,,1151
53,,81,,1166
53,,81,,1135
53,,81,,1132
53,,81,,1100
52,,81,,1097
52,,81,,1141
53,,81,,1144
52,,81,,1144
52,,81,,1164
53,,81,,1168
52,,81,,1125
52,,81,,1134
52,,81,,1134
52,,81,,1126
53,,81,,1157
53,,81,,1165
53,,81,,1182
53,,81,,1188
53,,81,,1150
53,,81,,1179
53,,81,,1195
52,,81,,1195
53,,81,,1245
53,,81,,1221
53,,81,,1211
53,,81,,1202
53,,81,,1148
53,,81,,1154
52,,81,,1147
52,,81,,1174
52,,81,,1295
52,,81,,1328
52,,81,,1215
52,,80,,1182
52,,80,,1170
51,,80,,1123
51,,80,,1116
51,,81,,1160
51,,81,,1130
51,,81,,1181
51,,81,,1188
51,,81,,1181
51,,81,,1203
51,,81,,1147
51,,81,,1138
51,,81,,1130
50,,81,,1093
50,,81,,1166
50,,82,,1196
50,,81,,1169
50,,81,,1196
50,,81,,1200
50,,82,,1174
51,,82,,1201
51,,82,,1174
51,,82,,1138
51,,82,,1158
51,,83,,1204
51,,83,,1174
51,,83,,1204
51,,83,,1243
51,,83,,1217
51,,83,,1166
51,,83,,1174
52,,83,,1196
52,,83,,1122
52,,83,,1156
52,,83,,1188
53,,83,,1168
53,,83,,1166
53,,83,,1148
53,,80,,1084
54,,79,,1082
55,,79,,1098
56,,80,,1120
56,,81,,1023
58,,81,,851
61,,81,,961
62,,81,,1011
63,,80,,929
65,,79,,894
67,,77,,1077
66,,77,,1131
65,,76,,1166
65,,79,,1193
64,,77,,1229
64,,77,,1202
64,,77,,1199
64,,77,,1196
64,,77,,1156
65,,77,,1080
65,,77,,1110
66,,77,,1164
66,,79,,1171
65,,78,,1208
65,,77,,1242
65,,78,,1194
64,,79,,1213
64,,79,,1247
63,,79,,1212
63,,79,,1195
62,,79,,1173
62,,79,,1099
62,,79,,999
61,,79,,1052
61,,79,,1072
60,,80,,1083
59,,80,,1142
58,,80,,1226
58,,80,,1225
57,,80,,1205
57,,80,,1230
57,,81,,1217
57,,81,,1172
56,,81,,1177
56,,81,,1195
56,,81,,1202
56,,81,,1199
56,,82,,1177
55,,82,,1153
56,,81,,1165
57,,80,,1193
58,,79,,1159
59,,79,,1181
59,,78,,1166
58,,78,,1173
57,,79,,1229
57,,79,,1202
56,,79,,1201
56,,79,,1155
56,,79,,1122
56,,79,,1134
56,,79,,1143
56,,80,,1105
56,,80,,1107
55,,80,,1092
55,,81,,1130
54,,81,,1137
54,,81,,1121
54,,80,,1135
53,,79,,1148
53,,78,,1126
53,,77,,1157
52,,77,,1125
52,,77,,1089
52,,78,,1103
52,,78,,1096
52,,79,,1116
52,,79,,1097
52,,77,,1060
52,,77,,1048
52,,77,,1080
51,,77,,
51,,72,,
51,,71,,
51,,72,,
51,,73,,
51,,74,,
51,,74,,
51,,75,,
51,,74,,
51,,75,,
51,,75,,
51,,73,,
52,,73,,
52,,73,,
52,,73,,
52,,71,,
53,,71,,
53,,72,,
55,,73,,
56,,73,,
58,,73,,
59,,72,,
58,,72,,
58,,73,,
58,,73,,
57,,73,,
56,,73,,
55,,73,,
54,,74,,
54,,74,,
54,,74,,
53,,74,,
53,,74,,
54,,74,,
54,,74,,
53,,74,,
53,,75,,
53,,75,,
53,,74,,
52,,73,,
52,,73,,
51,,74,,
51,,74,,
51,,75,,
51,,75,,
51,,75,,
51,,75,,
51,,75,,
52,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,73,,
53,,73,,
53,,73,,
52,,74,,
52,,73,,
52,,73,,
52,,73,,
51,,74,,
51,,74,,
51,,73,,
51,,73,,
51,,73,,
51,,74,,
51,,74,,
51,,75,,
51,,74,,
51,,73,,
51,,74,,
51,,74,,
51,,75,,
51,,75,,
51,,75,,
51,,75,,
51,,75,,
51,,75,,
51,,75,,
51,,74,,
51,,74,,
51,,74,,
51,,73,,
51,,73,,
52,,73,,
52,,73,,
52,,74,,
52,,75,,
52,,75,,
52,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
53,,75,,
54,,75,,
54,,75,,
54,,75,,
55,,76,,
