hr,t_start_video,gsr,t_start_eis,rr
51,,99,,1186
51,,99,,1146
51,,99,,1148
51,,99,,1185
51,,99,,1140
51,,99,,1151
51,,99,,1171
51,,99,,1144
51,,99,,1205
51,,99,,1241
51,,99,,1175
51,,99,,1221
51,,99,,1189
51,,99,,1185
51,,99,,1196
51,,99,,1127
51,,99,,1157
51,,99,,1126
51,,99,,1121
51,,99,,1146
50,,99,,1152
50,,99,,1118
50,,99,,1141
50,,97,,1159
50,,97,,1123
50,,97,,1115
51,,97,,1108
51,,97,,1103
51,,97,,1034
51,,97,,989
51,,97,,1079
51,,97,,1071
51,,97,,1085
51,,97,,1071
51,,97,,999
51,,97,,941
50,,97,,1000
50,,97,,1059
50,,97,,1008
50,,98,,1021
50,,98,,1071
51,,98,,1072
51,,98,,1019
51,,98,,1009
51,,99,,1079
51,,99,,1123
52,,99,,1106
52,,99,,1115
52,,99,,1162
52,,99,,1120
52,,99,,1130
52,,99,,1167
52,,99,,1225
52,,97,,1277
53,,96,,1284
53,,93,,1276
53,,93,,1240
54,,93,,1156
54,,93,,1176
55,,92,,1208
55,,92,,1137
55,,92,,1121
55,,92,,1220
57,,91,,1262
57,,91,,1220
57,,91,,1230
57,,91,,1211
57,,91,,1172
57,,90,,1168
57,,89,,1154
57,,91,,1195
57,,91,,1266
57,,91,,1210
57,,91,,1208
57,,90,,1167
56,,89,,1145
56,,89,,1171
56,,89,,1193
55,,89,,1186
55,,87,,1179
55,,86,,1061
55,,85,,859
54,,85,,902
53,,86,,1098
52,,86,,1190
52,,86,,1172
52,,87,,1148
51,,87,,1194
51,,87,,1190
51,,87,,1180
51,,86,,1191
51,,85,,1174
52,,84,,1181
52,,84,,1231
51,,85,,1228
51,,85,,1205
51,,85,,1218
50,,85,,1193
50,,85,,1227
50,,86,,1259
50,,85,,1258
50,,85,,1270
51,,84,,1309
51,,85,,1198
51,,85,,1203
50,,85,,1173
50,,83,,1157
50,,84,,1141
50,,83,,1122
50,,83,,1161
50,,83,,1175
50,,83,,1212
50,,84,,1274
50,,83,,1198
50,,83,,1168
51,,83,,1131
51,,83,,1131
53,,83,,1159
53,,83,,1140
53,,83,,1164
53,,83,,1241
53,,83,,1222
53,,83,,1095
52,,84,,921
52,,84,,984
52,,84,,1096
52,,84,,
51,,85,,
51,,84,,
51,,85,,
51,,84,,
51,,85,,
51,,85,,
50,,85,,
50,,84,,
50,,83,,
50,,83,,
50,,84,,
50,,84,,
50,,84,,
49,,85,,
49,,85,,
49,,85,,
49,,85,,
49,,85,,
49,,85,,
50,,85,,
50,,83,,
50,,83,,
51,,83,,
51,,83,,
50,,83,,
50,,83,,
50,,83,,
50,,83,,
50,,83,,
50,,83,,
51,,83,,
51,,82,,
51,,81,,
51,,80,,
51,,81,,
51,,82,,
51,,83,,
51,,83,,
53,,82,,
54,,81,,
54,,81,,
54,,81,,
