hr,t_start_video,gsr,t_start_eis,rr
50,1506682406.299158,97,1506682225.900951,1168
50,,97,,1073
50,,97,,959
51,,97,,978
52,,97,,922
53,,96,,877
56,,96,,903
58,,96,,840
59,,96,,875
60,,96,,867
61,,96,,809
65,,96,,758
67,,96,,757
69,,96,,731
72,,95,,728
73,,95,,717
74,,95,,711
75,,95,,744
75,,95,,778
76,,95,,803
76,,95,,766
76,,95,,747
75,,95,,770
74,,95,,789
72,,95,,806
71,,96,,850
70,,96,,927
68,,96,,1005
67,,96,,975
67,,96,,985
66,,96,,1017
65,,96,,1005
64,,96,,950
64,,96,,977
64,,96,,1076
64,,96,,1013
63,,97,,909
62,,97,,953
62,,97,,1005
61,,97,,1075
60,,97,,1013
60,,97,,1015
59,,97,,1098
58,,97,,1190
57,,97,,1143
57,,97,,1139
57,,97,,1133
57,,97,,1146
58,,96,,1029
59,,95,,970
57,,96,,905
56,,96,,1018
56,,96,,1191
55,,96,,1313
54,,96,,1345
53,,96,,1219
53,,96,,1330
52,,96,,1375
51,,96,,1303
50,,96,,1355
50,,97,,1362
49,,97,,1431
48,,97,,1511
48,,93,,1393
47,,95,,1418
47,,95,,1386
46,,94,,1410
46,,93,,1371
46,,94,,1284
45,,95,,1437
45,,95,,1362
45,,95,,1317
45,,95,,1335
45,,96,,1304
45,,96,,1371
45,,95,,1299
45,,96,,1299
45,,96,,1301
45,,97,,1248
45,,97,,1270
45,,97,,1250
45,,97,,1301
45,,97,,1218
45,,97,,1244
45,,97,,1236
46,,97,,1240
46,,97,,1317
46,,97,,1270
46,,98,,1291
46,,98,,1265
46,,98,,1194
47,,98,,1227
47,,99,,1236
47,,99,,1219
47,,99,,1231
47,,99,,1259
47,,99,,1291
47,,99,,1234
47,,99,,996
47,,99,,1034
47,,99,,1182
47,,99,,1194
47,,99,,1237
48,,99,,1246
48,,99,,1162
48,,100,,1166
48,,99,,1208
48,,99,,1158
48,,99,,1193
48,,99,,1195
49,,97,,1177
50,,97,,1215
50,,96,,1207
50,,95,,1215
50,,95,,1223
50,,95,,1161
50,,95,,1168
50,,95,,1176
50,,95,,1138
50,,95,,1198
50,,96,,1208
50,,96,,1220
50,,95,,1240
50,,95,,1208
50,,95,,1220
50,,95,,1220
50,,96,,1189
50,,96,,1215
50,,96,,1191
50,,97,,1177
50,,97,,1211
50,,97,,1195
50,,97,,1161
50,,97,,1156
51,,97,,1112
51,,97,,1131
50,,97,,1166
50,,97,,1135
50,,97,,1166
50,,97,,1219
50,,97,,1151
50,,97,,1178
50,,97,,1177
50,,98,,1151
50,,98,,1175
50,,98,,1164
50,,98,,1141
50,,99,,1164
50,,99,,1167
50,,99,,1183
50,,99,,1236
50,,99,,1167
50,,99,,1190
51,,99,,1228
51,,99,,1168
51,,99,,1172
51,,99,,1203
51,,99,,1184
51,,99,,1220
51,,99,,1247
51,,99,,1175
