start,hr,gsr,rr,end
1506942845.633636,55,127,1116,13.626365184783936
,55,127,1127,
,55,127,1134,
,54,127,1070,
,55,127,1102,
,55,127,1156,
,54,127,1137,
,54,127,1159,
,54,127,1148,
,54,127,1100,
,54,127,1117,
,54,127,,
,54,127,,
