hr,gsr,rr,t_start_eis,t_start_video
67,112,732,,
67,112,737,,
67,113,757,,
66,113,801,,
66,113,813,,
66,113,827,,
65,113,815,,
65,113,798,,
65,113,786,,
64,113,781,,
64,113,761,,
64,113,762,,
64,113,783,,
64,113,810,,
65,113,819,,
65,113,834,,
65,113,833,,
64,113,819,,
64,113,802,,
64,113,783,,
64,113,791,,
64,113,767,,
64,113,785,,
64,113,817,,
64,113,828,,
64,113,819,,
64,113,792,,
64,113,806,,
63,113,802,,
63,113,797,,
63,113,766,,
63,113,782,,
63,113,789,,
63,113,797,,
63,113,801,,
63,113,783,,
63,113,777,,
63,113,799,,
63,113,810,,
63,113,797,,
63,113,783,,
63,113,796,,
63,113,808,,
63,113,814,,
63,113,823,,
63,113,805,,
63,113,838,,
63,113,847,,
63,113,822,,
63,113,836,,
63,113,842,,
63,113,827,,
63,113,793,,
63,113,816,,
63,113,840,,
63,113,833,,
63,113,831,,
64,113,857,,
64,113,870,,
64,113,857,,
64,113,839,,
65,113,811,,
65,113,814,,
65,113,819,,
65,113,831,,
65,113,833,,
65,113,843,,
65,113,899,,
65,113,933,,
65,113,943,,
65,113,936,,
66,114,901,,
66,114,892,,
66,113,910,,
65,113,919,,
66,114,930,,
66,114,945,,
66,114,916,,
66,114,940,,
66,114,950,,
66,114,926,,
65,114,913,,
65,114,938,,
65,114,949,,
65,114,960,,
65,114,960,,
65,114,955,,
65,114,967,,
65,114,931,,
65,114,879,,
65,114,883,,
65,114,917,,
65,114,959,,
64,114,969,,
64,114,968,,
65,114,969,,
65,114,913,,
64,114,899,,
64,114,944,,
65,114,956,,
64,114,966,,
64,114,944,,
64,115,905,,
64,114,935,,
64,115,968,,
64,115,981,,
64,115,972,,
64,115,934,,
64,115,965,,
64,115,970,,
64,115,942,,
64,115,923,,
64,115,962,,
64,115,970,,
64,115,922,,
64,115,933,,
64,115,972,,
64,115,965,,
64,115,918,,
64,115,965,,
64,115,975,,
64,115,935,,
63,115,919,,
64,115,956,,
64,115,976,,
63,115,944,,
63,115,959,,
63,115,981,,
63,115,975,,
63,115,966,,
63,115,924,,
63,115,936,,
63,115,960,,
63,115,948,,
63,115,934,,
63,115,937,,
63,115,888,,
63,115,884,,
63,115,916,,
63,115,935,,
63,115,912,,
63,115,899,,
63,115,923,,
63,115,927,,
63,115,891,,
63,115,905,,
63,115,928,,
63,115,937,,
63,115,924,,
63,115,923,,
63,115,880,,
63,115,877,,
63,115,909,,
63,115,926,,
63,115,934,,
63,115,890,,
63,115,869,,
63,115,890,,
63,115,922,,
63,115,922,,
63,115,890,,
63,115,919,,
62,115,950,,
62,115,947,,
62,115,944,,
62,115,944,,
62,114,935,,
63,113,915,,
63,111,881,,
63,111,914,,
63,111,939,,
63,111,920,,
63,111,906,,
63,111,949,,
63,111,968,,
64,110,970,,
63,109,939,,
64,109,890,,
64,107,923,,
64,107,944,,
64,107,942,,
65,105,915,,
66,105,951,,
66,105,973,,
67,105,967,,
68,105,947,,
68,105,900,,
68,105,918,,
68,106,950,,
68,105,934,,
68,105,916,,
68,105,954,,
67,106,966,,
67,107,919,,
67,107,918,,
67,107,941,,
67,107,952,,
67,107,916,,
66,107,908,,
66,107,942,,
65,107,961,,
65,108,934,,
64,108,904,,
64,108,934,,
64,109,960,,
64,109,962,,
64,109,969,,
64,109,917,,
64,109,950,,
64,109,970,,
64,109,962,,
64,109,958,,
64,109,966,,
64,109,955,,
63,109,963,,
64,109,955,,
64,109,915,,
64,109,940,,
64,109,967,,
64,109,962,,
63,109,918,,
63,109,930,,
63,109,967,,
63,109,958,,
63,109,947,,
62,109,949,,
62,109,946,,
62,110,908,,
63,110,951,,
63,110,973,,
62,110,932,,
62,110,926,,
63,110,976,,
62,111,993,,
62,111,943,,
62,111,952,,
62,111,972,,
63,111,958,,
63,111,919,,
63,111,955,,
63,111,988,,
64,111,990,,
64,110,952,,
64,110,921,,
65,110,958,,
66,110,979,,
66,110,934,,
67,110,971,,
67,110,999,,
67,111,981,,
66,111,950,,
66,111,966,,
66,111,954,,
65,111,916,,
65,111,943,,
65,111,957,,
65,111,943,,
65,111,940,,
64,111,959,,
64,111,932,,
64,111,915,,
63,111,932,,
64,111,947,,
64,111,914,,
64,111,918,,
64,111,936,,
64,111,930,,
64,111,902,,
64,111,857,,
64,111,857,,
64,111,859,,
64,111,852,,
64,111,844,,
64,111,850,,
64,111,858,,
64,111,858,,
64,111,875,,
64,111,873,,
64,111,877,,
64,111,892,,
,,918,,
,,916,,
,,923,,
,,919,,
,,915,,
,,915,,
,,900,,
,,923,,
,,945,,
,,976,,
,,979,,
,,972,,
,,956,,
,,903,,
,,925,,
,,955,,
,,959,,
,,960,,
,,964,,
,,924,,
,,903,,
,,926,,
,,952,,
,,945,,
,,977,,
,,934,,
,,886,,
,,899,,
,,936,,
,,983,,
,,997,,
,,1008,,
,,953,,
,,951,,
,,975,,
,,987,,
,,975,,
,,980,,
,,938,,
,,932,,
,,969,,
,,1000,,
,,953,,
,,936,,
,,969,,
,,985,,
,,970,,
,,947,,
,,883,,
,,919,,
,,954,,
,,925,,
,,874,,
,,901,,
,,931,,
,,933,,
,,865,,
,,839,,
,,861,,
,,843,,
,,871,,
,,919,,
,,940,,
,,898,,
,,935,,
,,970,,
,,959,,
,,967,,
,,934,,
,,908,,
,,951,,
,,981,,
,,973,,
,,988,,
,,958,,
,,918,,
,,942,,
,,958,,
,,943,,
,,897,,
,,931,,
,,962,,
,,958,,
,,953,,
,,901,,
,,933,,
,,954,,
,,941,,
,,895,,
,,927,,
,,947,,
,,958,,
,,960,,
,,964,,
