start,hr,gsr,rr,action
1506942447.574201,53,127,1222,17.035418033599854
,52,127,1183,
,52,127,1183,
,52,127,1224,
,52,127,1207,
,52,127,1181,
,51,127,1187,
,51,127,1155,
,51,127,1159,
,51,127,1194,
,51,127,1208,
,51,127,1191,
,51,127,1188,
,51,127,1167,
,51,127,,
,51,127,,
,51,127,,
