action,start,hr,gsr,rr,end
8.475388050079346,1506943292.289802,55,127,960,19.487199068069458
9.483963012695312,,56,127,1000,
,,56,127,1270,
,,55,127,1398,
,,55,127,1399,
,,54,127,1316,
,,52,127,1267,
,,52,127,1283,
,,52,127,1191,
,,51,127,1135,
,,50,127,1195,
,,50,127,1132,
,,51,127,1111,
,,51,127,971,
,,51,127,1015,
,,51,127,1106,
,,51,127,,
,,53,127,,
,,53,127,,
,,53,127,,
