hr,gsr,t_start_eis,rr
63,127,1506517326.190061,888
64,127,,868
64,127,,858
65,127,,831
66,127,,815
67,127,,869
66,127,,977
66,127,,938
66,127,,945
66,51,,921
66,64,,887
66,65,,862
67,63,,895
67,61,,864
67,61,,856
67,61,,874
67,61,,890
67,61,,883
67,61,,923
67,61,,950
67,60,,861
68,60,,853
69,60,,853
69,59,,837
,,,819
,,,844
70,58,808,
71,58,826,
71,57,791,
71,57,820,
71,57,890,
71,57,866,
70,57,847,
70,57,888,
71,57,888,
72,57,800,
,,784,
,,819,
