hr,gsr,rr,t_start_eis,t_end_eis,t_start_video
76,97,686,,,
76,97,708,,,
76,97,668,,,
76,97,625,,,
75,97,611,,,
74,97,610,,,
73,97,609,,,
73,97,645,,,
73,97,723,,,
72,97,765,,,
72,97,735,,,
72,97,702,,,
71,97,701,,,
71,98,698,,,
70,98,697,,,
70,98,666,,,
69,98,648,,,
70,98,634,,,
71,98,622,,,
71,98,628,,,
74,99,666,,,
73,99,787,,,
72,99,874,,,
71,99,804,,,
71,99,784,,,
72,99,747,,,
72,99,730,,,
73,99,715,,,
74,99,707,,,
75,99,711,,,
76,99,731,,,
77,99,768,,,
77,99,834,,,
78,99,857,,,
80,99,899,,,
81,99,906,,,
81,99,820,,,
81,99,778,,,
79,99,747,,,
79,99,714,,,
79,99,694,,,
79,99,690,,,
80,99,704,,,
79,99,707,,,
79,99,701,,,
79,99,733,,,
77,99,1030,,,
77,99,891,,,
77,99,869,,,
78,99,790,,,
77,99,711,,,
75,99,671,,,
74,99,670,,,
73,99,678,,,
72,99,726,,,
73,99,776,,,
73,99,809,,,
76,99,781,,,
77,99,742,,,
76,99,722,,,
76,100,739,,,
76,100,755,,,
75,100,807,,,
75,100,829,,,
75,100,844,,,
75,100,787,,,
76,100,725,,,
74,100,687,,,
73,100,711,,,
73,100,726,,,
73,100,804,,,
74,100,875,,,
74,100,891,,,
72,101,840,,,
72,100,784,,,
72,101,726,,,
72,101,687,,,
73,101,704,,,
73,101,748,,,
74,101,1140,,,
74,101,950,,,
74,101,939,,,
74,101,907,,,
73,101,862,,,
72,101,792,,,
72,101,737,,,
72,101,715,,,
74,101,699,,,
73,101,774,,,
72,101,1048,,,
71,101,924,,,
72,101,861,,,
73,101,858,,,
73,101,821,,,
74,101,763,,,
73,101,742,,,
72,101,757,,,
73,101,835,,,
74,101,875,,,
75,101,870,,,
74,101,749,,,
73,101,698,,,
74,101,721,,,
74,101,733,,,
74,101,821,,,
74,101,819,,,
74,99,814,,,
75,97,803,,,
76,96,797,,,
76,94,801,,,
75,92,795,,,
77,91,862,,,
79,90,864,,,
82,87,894,,,
82,87,851,,,
81,87,843,,,
81,87,841,,,
81,85,834,,,
82,83,849,,,
85,82,878,,,
86,82,864,,,
86,83,876,,,
86,83,910,,,
88,83,910,,,
91,83,887,,,
92,83,854,,,
95,83,798,,,
95,83,758,,,
95,83,715,,,
94,84,709,,,
94,84,740,,,
94,84,892,,,
91,85,946,,,
89,85,942,,,
87,85,855,,,
87,85,748,,,
86,85,718,,,
84,86,699,,,
84,87,731,,,
84,87,752,,,
81,87,781,,,
78,87,728,,,
77,87,723,,,
75,87,762,,,
75,88,770,,,
74,88,780,,,
72,88,711,,,
72,89,691,,,
70,89,673,,,
68,89,680,,,
67,89,763,,,
68,89,912,,,
68,89,923,,,
69,89,869,,,
69,90,801,,,
69,90,714,,,
68,91,678,,,
69,91,686,,,
69,91,702,,,
70,90,823,,,
70,89,942,,,
70,89,962,,,
69,89,914,,,
68,89,836,,,
68,89,761,,,
68,89,675,,,
68,89,693,,,
69,90,727,,,
69,90,824,,,
69,90,969,,,
68,90,930,,,
69,91,926,,,
71,91,860,,,
71,91,811,,,
70,91,780,,,
69,91,721,,,
69,91,708,,,
69,91,684,,,
69,91,711,,,
69,91,841,,,
69,91,978,,,
69,92,979,,,
69,92,937,,,
68,92,844,,,
68,93,725,,,
67,93,692,,,
67,93,689,,,
67,93,756,,,
68,93,954,,,
69,93,963,,,
69,93,947,,,
68,93,834,,,
66,93,759,,,
65,93,783,,,
66,94,766,,,
66,94,886,,,
67,94,926,,,
67,94,907,,,
66,95,844,,,
66,95,816,,,
66,95,752,,,
67,95,716,,,
66,95,697,,,
65,95,717,,,
65,95,804,,,
65,95,1072,,,
66,95,983,,,
66,95,926,,,
66,95,896,,,
65,95,859,,,
65,95,809,,,
66,95,704,,,
67,96,704,,,
69,96,718,,,
69,96,876,,,
69,96,896,,,
69,97,900,,,
69,97,834,,,
71,97,724,,,
72,97,683,,,
73,96,675,,,
,,718,,,
,,899,,,
,,927,,,
,,907,,,
,,776,,,
,,745,,,
,,757,,,
,,813,,,
,,881,,,
,,872,,,
,,752,,,
,,786,,,
,,791,,,
,,804,,,
,,804,,,
,,857,,,
,,747,,,
,,735,,,
,,759,,,
,,790,,,
,,832,,,
,,717,,,
,,717,,,
,,674,,,
,,649,,,
,,658,,,
,,694,,,
,,812,,,
,,867,,,
,,836,,,
,,730,,,
,,666,,,
,,639,,,
,,646,,,
,,646,,,
,,683,,,
,,710,,,
,,673,,,
,,643,,,
,,623,,,
,,597,,,
,,594,,,
,,585,,,
,,562,,,
,,587,,,
,,605,,,
,,665,,,
,,637,,,
,,686,,,
,,938,,,
,,949,,,
,,898,,,
,,855,,,
,,818,,,
,,794,,,
,,708,,,
,,688,,,
,,791,,,
,,839,,,
,,1062,,,
,,1038,,,
,,995,,,
,,963,,,
,,930,,,
,,891,,,
,,821,,,
,,783,,,
,,872,,,
,,1060,,,
,,1054,,,
,,1024,,,
,,963,,,
,,932,,,
,,869,,,
,,791,,,
,,789,,,
,,844,,,
,,895,,,
,,984,,,
,,854,,,
,,751,,,
,,699,,,
,,708,,,
,,781,,,
,,887,,,
,,1018,,,
,,994,,,
,,959,,,
,,923,,,
,,868,,,
,,749,,,
,,734,,,
,,776,,,
,,882,,,
,,887,,,
,,909,,,
,,832,,,
,,778,,,
,,793,,,
,,837,,,
,,895,,,
,,930,,,
,,906,,,
,,898,,,
,,879,,,
,,876,,,
,,820,,,
,,830,,,
,,873,,,
,,913,,,
,,929,,,
,,948,,,
,,930,,,
,,917,,,
,,904,,,
,,857,,,
,,788,,,
,,795,,,
,,878,,,
,,1038,,,
,,1069,,,
,,992,,,
,,901,,,
,,835,,,
,,871,,,
,,915,,,
,,994,,,
,,954,,,
,,878,,,
,,838,,,
,,862,,,
,,967,,,
,,1000,,,
,,974,,,
,,881,,,
,,872,,,
,,885,,,
,,944,,,
,,956,,,
,,936,,,
,,912,,,
,,811,,,
,,799,,,
,,786,,,
,,817,,,
,,875,,,
,,926,,,
,,868,,,
,,811,,,
,,738,,,
,,688,,,
,,749,,,
,,746,,,
