roll, pitch, yaw,nr,time
-57.76,26.77,235.43,111,Tue Oct  3 19:51:31 2017
-63.11,20.92,231.79,112,Tue Oct  3 19:51:31 2017
-63.46,20.39,233.03,113,Tue Oct  3 19:51:31 2017
-56.77,26.72,241.61,114,Tue Oct  3 19:51:31 2017
-45.51,33.51,-107.38,115,Tue Oct  3 19:51:31 2017
-22.27,40.23,-83.3,116,Tue Oct  3 19:51:31 2017
1.22,37.9,-58.75,117,Tue Oct  3 19:51:31 2017
12.32,32.52,-46.76,118,Tue Oct  3 19:51:32 2017
25.03,21.48,-34.24,119,Tue Oct  3 19:51:32 2017
29.61,13.44,-27.92,120,Tue Oct  3 19:51:32 2017
31.21,2.58,-23.5,121,Tue Oct  3 19:51:32 2017
30.5,-2.5,-23.55,122,Tue Oct  3 19:51:32 2017
28.85,-3.05,-25.75,123,Tue Oct  3 19:51:32 2017
26.46,5.32,-33.79,124,Tue Oct  3 19:51:32 2017
22.13,13.57,-41.62,125,Tue Oct  3 19:51:32 2017
9.32,27.62,-57.58,126,Tue Oct  3 19:51:32 2017
-4.13,34.39,-73.07,127,Tue Oct  3 19:51:32 2017
-23.87,33.41,-95.83,128,Tue Oct  3 19:51:32 2017
-33.73,29.13,-107.84,129,Tue Oct  3 19:51:32 2017
-39.26,22.9,-114.19,130,Tue Oct  3 19:51:32 2017
-41.04,21.65,-114.62,131,Tue Oct  3 19:51:32 2017
-37.87,23.06,-111.07,132,Tue Oct  3 19:51:32 2017
-28.13,28.26,-98.4,133,Tue Oct  3 19:51:32 2017
-16.62,32.16,-84.77,134,Tue Oct  3 19:51:32 2017
4.9,33.24,-61.39,135,Tue Oct  3 19:51:32 2017
16.19,29.74,-48.1,136,Tue Oct  3 19:51:32 2017
28.4,22.62,-33.71,137,Tue Oct  3 19:51:32 2017
33.11,15.4,-25.89,138,Tue Oct  3 19:51:33 2017
34.78,11.08,-22.3,139,Tue Oct  3 19:51:33 2017
35.07,6.93,-20.68,140,Tue Oct  3 19:51:33 2017
34.3,5.56,-20.94,141,Tue Oct  3 19:51:33 2017
30.89,7.76,-26.43,142,Tue Oct  3 19:51:33 2017
25.74,12.8,-33.95,143,Tue Oct  3 19:51:33 2017
12.56,22.96,-48.27,144,Tue Oct  3 19:51:33 2017
-3.7,29.94,-67.54,145,Tue Oct  3 19:51:33 2017
-16.54,29.61,-83.62,146,Tue Oct  3 19:51:33 2017
-33.68,22.42,-102.4,147,Tue Oct  3 19:51:33 2017
-42.07,18.23,-109.34,148,Tue Oct  3 19:51:33 2017
-47.6,14.12,-113.03,149,Tue Oct  3 19:51:33 2017
-50.1,13.31,-113.73,150,Tue Oct  3 19:51:33 2017
-50.16,15.64,-111.4,151,Tue Oct  3 19:51:33 2017
-42.91,22.61,-102.39,152,Tue Oct  3 19:51:33 2017
-30.25,27.57,-91.15,153,Tue Oct  3 19:51:33 2017
-3.74,31.17,-67.41,154,Tue Oct  3 19:51:33 2017
13.94,28.07,-52.04,155,Tue Oct  3 19:51:33 2017
31.59,17.96,-37.22,156,Tue Oct  3 19:51:33 2017
37.27,10.91,-32.79,157,Tue Oct  3 19:51:34 2017
36.1,10.14,-25.88,158,Tue Oct  3 19:51:34 2017
