30.0 Frames	2017-09-26 09:10:43.072268
30.0 Frames	2017-09-26 09:10:45.700815
30.0 Frames	2017-09-26 09:10:45.813779
30.0 Frames	2017-09-26 09:10:45.847634
30.0 Frames	2017-09-26 09:10:46.060342
30.0 Frames	2017-09-26 09:10:46.077481
30.0 Frames	2017-09-26 09:10:46.097494
30.0 Frames	2017-09-26 09:10:46.113163
30.0 Frames	2017-09-26 09:10:46.129744
30.0 Frames	2017-09-26 09:10:46.149297
30.0 Frames	2017-09-26 09:10:46.183643
30.0 Frames	2017-09-26 09:10:46.286494
30.0 Frames	2017-09-26 09:10:46.314370
30.0 Frames	2017-09-26 09:10:46.338773
30.0 Frames	2017-09-26 09:10:46.358164
30.0 Frames	2017-09-26 09:10:46.386912
30.0 Frames	2017-09-26 09:10:46.413158
30.0 Frames	2017-09-26 09:10:46.434508
30.0 Frames	2017-09-26 09:10:46.464510
30.0 Frames	2017-09-26 09:10:46.497341
30.0 Frames	2017-09-26 09:10:46.524303
30.0 Frames	2017-09-26 09:10:46.562616
30.0 Frames	2017-09-26 09:10:46.598977
30.0 Frames	2017-09-26 09:10:46.633829
30.0 Frames	2017-09-26 09:10:46.662768
30.0 Frames	2017-09-26 09:10:46.695853
30.0 Frames	2017-09-26 09:10:46.735532
30.0 Frames	2017-09-26 09:10:46.765146
30.0 Frames	2017-09-26 09:10:46.802155
30.0 Frames	2017-09-26 09:10:46.832943
30.0 Frames	2017-09-26 09:10:46.858319
30.0 Frames	2017-09-26 09:10:46.894020
30.0 Frames	2017-09-26 09:10:46.927686
30.0 Frames	2017-09-26 09:10:46.957028
30.0 Frames	2017-09-26 09:10:46.992916
30.0 Frames	2017-09-26 09:10:47.037638
30.0 Frames	2017-09-26 09:10:47.080682
30.0 Frames	2017-09-26 09:10:47.098712
30.0 Frames	2017-09-26 09:10:47.127355
30.0 Frames	2017-09-26 09:10:47.160629
30.0 Frames	2017-09-26 09:10:47.199075
30.0 Frames	2017-09-26 09:10:47.234637
30.0 Frames	2017-09-26 09:10:47.287709
30.0 Frames	2017-09-26 09:10:47.318438
30.0 Frames	2017-09-26 09:10:47.344486
30.0 Frames	2017-09-26 09:10:47.374776
30.0 Frames	2017-09-26 09:10:47.426195
30.0 Frames	2017-09-26 09:10:47.453525
30.0 Frames	2017-09-26 09:10:47.488711
30.0 Frames	2017-09-26 09:10:47.529979
30.0 Frames	2017-09-26 09:10:47.553878
30.0 Frames	2017-09-26 09:10:47.572980
30.0 Frames	2017-09-26 09:10:47.598704
30.0 Frames	2017-09-26 09:10:47.627158
30.0 Frames	2017-09-26 09:10:47.666469
30.0 Frames	2017-09-26 09:10:47.699283
30.0 Frames	2017-09-26 09:10:47.733002
30.0 Frames	2017-09-26 09:10:47.767494
30.0 Frames	2017-09-26 09:10:47.819486
30.0 Frames	2017-09-26 09:10:47.841296
30.0 Frames	2017-09-26 09:10:47.872852
30.0 Frames	2017-09-26 09:10:47.901812
30.0 Frames	2017-09-26 09:10:47.941620
30.0 Frames	2017-09-26 09:10:49.082387
30.0 Frames	2017-09-26 09:10:49.118733
30.0 Frames	2017-09-26 09:10:49.159255
30.0 Frames	2017-09-26 09:10:49.184707
30.0 Frames	2017-09-26 09:10:49.220885
30.0 Frames	2017-09-26 09:10:49.250908
